Itr: 202, Loss: 0.02498609945178032, L_s: 0.024985840544104576, L_vlb: 0.0002597475831862539
Itr: 203, Loss: 0.11622092872858047, L_s: 0.11613538861274719, L_vlb: 0.08553946763277054
Itr: 204, Loss: 0.038812823593616486, L_s: 0.03881211578845978, L_vlb: 0.0007064759847708046
Itr: 205, Loss: 0.022360606119036674, L_s: 0.022360429167747498, L_vlb: 0.00017688257503323257
Itr: 206, Loss: 0.03358307480812073, L_s: 0.033582668751478195, L_vlb: 0.0004061763174831867
Itr: 207, Loss: 0.05991342291235924, L_s: 0.05991204082965851, L_vlb: 0.001381508307531476
Itr: 208, Loss: 0.112136609852314, L_s: 0.11212360858917236, L_vlb: 0.013002060353755951
Itr: 209, Loss: 0.05309993028640747, L_s: 0.053099121898412704, L_vlb: 0.0008092382340691984
Itr: 210, Loss: 0.029590420424938202, L_s: 0.02959008514881134, L_vlb: 0.0003344217548146844
Itr: 211, Loss: 0.022707847878336906, L_s: 0.02270769700407982, L_vlb: 0.0001502148516010493
Itr: 212, Loss: 0.017470452934503555, L_s: 0.01747032254934311, L_vlb: 0.0001297103299293667
Itr: 213, Loss: 0.015087617561221123, L_s: 0.015054615214467049, L_vlb: 0.03300194814801216
Itr: 214, Loss: 0.0157170370221138, L_s: 0.01571689546108246, L_vlb: 0.000141227210406214
Itr: 215, Loss: 0.013582938350737095, L_s: 0.013582850806415081, L_vlb: 8.777918992564082e-05
Itr: 216, Loss: 0.08590421080589294, L_s: 0.08590011298656464, L_vlb: 0.004100696183741093
Itr: 217, Loss: 0.014188053086400032, L_s: 0.014187946915626526, L_vlb: 0.00010591103637125343
Itr: 218, Loss: 0.02862764708697796, L_s: 0.02862739935517311, L_vlb: 0.0002482411218807101
Itr: 219, Loss: 0.0647638589143753, L_s: 0.06475581973791122, L_vlb: 0.008039833977818489
Itr: 220, Loss: 0.03395802527666092, L_s: 0.033957596868276596, L_vlb: 0.00042822910472750664
Itr: 221, Loss: 0.01001287903636694, L_s: 0.010012798942625523, L_vlb: 7.966825796756893e-05
Itr: 222, Loss: 0.048325181007385254, L_s: 0.04832407832145691, L_vlb: 0.0011024412233382463
Itr: 223, Loss: 0.013309766538441181, L_s: 0.013309690169990063, L_vlb: 7.643567369086668e-05
Itr: 224, Loss: 0.058133941143751144, L_s: 0.05813128501176834, L_vlb: 0.0026552213821560144
Itr: 225, Loss: 0.026749560609459877, L_s: 0.0267493799328804, L_vlb: 0.00017992185894399881
Itr: 226, Loss: 0.025093499571084976, L_s: 0.025093208998441696, L_vlb: 0.000290355907054618
Itr: 227, Loss: 0.03095375932753086, L_s: 0.03095349483191967, L_vlb: 0.0002636879507917911
Itr: 228, Loss: 0.023324068635702133, L_s: 0.02332371473312378, L_vlb: 0.0003534905845299363
Itr: 229, Loss: 0.028269942849874496, L_s: 0.028269018977880478, L_vlb: 0.0009231115691363811
Itr: 230, Loss: 0.08546131104230881, L_s: 0.08545202016830444, L_vlb: 0.009287936612963676
Itr: 231, Loss: 0.01649142988026142, L_s: 0.01649133302271366, L_vlb: 9.64334758464247e-05
Itr: 232, Loss: 0.015526572242379189, L_s: 0.015526419505476952, L_vlb: 0.00015291571617126465
Itr: 233, Loss: 0.039027053862810135, L_s: 0.03902651369571686, L_vlb: 0.0005405665724538267
Itr: 234, Loss: 0.014332090504467487, L_s: 0.014332006685435772, L_vlb: 8.40198845253326e-05
Itr: 235, Loss: 0.021642548963427544, L_s: 0.02164236269891262, L_vlb: 0.00018681252549868077
Itr: 236, Loss: 0.05527212843298912, L_s: 0.05527030676603317, L_vlb: 0.001821416080929339
Itr: 237, Loss: 0.04405076056718826, L_s: 0.044050395488739014, L_vlb: 0.00036544157774187624
Itr: 238, Loss: 0.04004715755581856, L_s: 0.040046073496341705, L_vlb: 0.0010838460875675082
Itr: 239, Loss: 0.08561790734529495, L_s: 0.0856161043047905, L_vlb: 0.0018028540071099997
Itr: 240, Loss: 0.03614290803670883, L_s: 0.03614182770252228, L_vlb: 0.0010817574802786112
Itr: 241, Loss: 0.02554963529109955, L_s: 0.025549378246068954, L_vlb: 0.0002577315899543464
Itr: 242, Loss: 0.01961541920900345, L_s: 0.019615188241004944, L_vlb: 0.00023153008078224957
Itr: 243, Loss: 0.03218087553977966, L_s: 0.032179709523916245, L_vlb: 0.0011661072494462132
Itr: 244, Loss: 0.03298627957701683, L_s: 0.0329856276512146, L_vlb: 0.0006516985013149679
Itr: 245, Loss: 0.05772063136100769, L_s: 0.05771895498037338, L_vlb: 0.0016758576966822147
Itr: 246, Loss: 0.06702040880918503, L_s: 0.06701888889074326, L_vlb: 0.0015217696782201529
Itr: 247, Loss: 0.031284864991903305, L_s: 0.031284503638744354, L_vlb: 0.0003598000039346516
Itr: 248, Loss: 0.024452438578009605, L_s: 0.024451863020658493, L_vlb: 0.0005763575318269432
Itr: 249, Loss: 0.05033222585916519, L_s: 0.050329625606536865, L_vlb: 0.002598423510789871
Itr: 250, Loss: 0.015436229296028614, L_s: 0.015436134301126003, L_vlb: 9.464933827985078e-05
Itr: 251, Loss: 0.01731736771762371, L_s: 0.017317211255431175, L_vlb: 0.00015681207878515124
